osm_id,id,com_nom
node/4798913792,6b5b72ca-77de-4f70-8900-f79ca6cb24c8,Bannost-Villegagnon
node/1467568769,76e9b9d6-708d-4026-b0d8-9c5c7fb03004,Banthelu
node/4798915867,1e636d54-f3c1-41dd-85f9-ed1af2ca8052,Barbey
way/113288071,d50afb58-40ba-4454-8cfe-42d0abf9fd00,Barbizon
node/3842874863,bc7b42be-ec6a-4d7a-a618-fabf16e8c3a4,Barcy
way/178916464,b7469735-36a1-405a-80c1-d6197f2d8cd9,Basse-Pointe
way/66440877,597b1720-8653-4ef4-b838-4841be6e62f4,Basse-Terre
node/4798916224,bf28b298-8653-4574-8b0a-2b7cb2050964,Bassevelle
node/3499072811,ceae1b0c-81e6-4330-b580-79bac151c6e1,Baulne
node/988712796,762949f5-7e8d-4c2b-92c9-3927b5579cc2,Bazainville
Node/1874175052,f41a7534-4726-4dbd-87eb-22a7265df94f ,Bazeilles
node/11036356623,484a9c9c-5c74-468a-8c1d-478a2cb1c099,Bazemont
node/4798915547,a29a7925-47ef-4067-a238-4dde33496e13,Bazoches-lès-Bray
node/2383709781,c7441370-9f1d-4997-8b29-44bed8bc0eda,Bazoches-sur-Guyonne
way/369393228,3e9d6704-8542-4ff2-8b5d-39d94f859d83,Beauchamp
node/4798915893,d9f90879-52f2-41d8-a9e0-534d09b68ad8,Beauchery-Saint-Martin
way/115180931,a1990c6f-d1f1-4141-87a7-03ac3d3f8bdc,Beaumont-du-Gâtinais
way/167629659,2a3cb556-8961-450b-9b94-395f95453bb0,Beaumont-sur-Oise
node/1645394958,04ec2d67-66fb-4121-a26a-a4e0ad69fdeb ,Beautheil-Saints
Way/115175552,5a81c3c0-991f-44ef-a699-d17e79fe96ad,Beautheil-Saints
way/362629172,64f83220-e577-42ce-90b7-1dd2472c1239,Beauvoir
way/131930801,9492daac-0ea2-4b97-bab5-197e2f232767,Bellefontaine
way/125079898,c4a22c3e-ccbd-4c9d-bc5f-45b45faba22d,Bellefontaine
node/4798915866,c81f5264-19f8-4d90-8d9f-86a939bd6e02,Bellot
node/3529756130,ceba0df7-70fa-49e1-9e9f-f50870203b36,Belloy-en-France
way/601251739,f5cc22a5-75bc-43e2-9004-115e9a9a3d43,Bennecourt
way/229305691,3060e539-bc7e-415b-b580-9a32b41ebf10,Bernay-Vilbert
node/8168037599,07ee0672-d96f-4774-9072-7503603ca1e6,Bernes-sur-Oise
node/11043965810,b70e6155-d6dc-44d0-93c9-317b25f0ffb1,Berville
way/103355502,ed1482a5-90e3-41f2-8e14-50826a4ba4b3,Bessancourt
node/7618324588,225244ee-f6b9-43c1-a948-9cf53311b680,Beton-Bazoches
way/63065068,30d2e77c-ef7c-47d5-8ec1-d6a6269088b5,Beynes
way/148480154,129237e7-24ed-4f75-a6df-93059d1e7a4a,Bezalles
way/387315533,9eb6008b-eac3-43bc-b7d4-317cbaadda96,Bezons
Way/158617134,80093178-986c-488b-8b76-59b995747e75,Bians-les-Usiers
way/70456515,2b4625db-0190-43c9-bbfb-fedd9b4dd96d,Bièvres
way/330255741,51728fb3-56f9-4ebc-ac73-d07c996f1ca8,Blandy
way/113274452,62cf2ba0-fab3-496e-9c88-72609a7ac5e2,Blandy
way/110272675,82db40b4-60a6-41ac-835a-c4ffc5d46d89,Blaru
way/278594287,07e02456-a7e3-421f-935c-65c2d4002fd0,Blennes
way/77744232,f91ec498-396d-4ea7-aa5c-c5ed2cfed87b,Bobigny
way/146251587,cce6d4f7-a970-4d11-ac7f-9aa1c9f4886f,Boigneville
way/240619108,88017b91-97a7-4e5d-bf2b-1a5f5ff86270,Boinville-en-Mantois
node/11046780844,e2d710f7-4730-48a3-b10e-522bc55c536a,Boinville-le-Gaillard
way/133498921,e08ab162-4680-4617-bbaa-493015077cfe,Boinvilliers
way/79772811,414058d9-77a7-42f5-879d-c43e3bd915c2,Bois-Colombes
node/3499103060,aa5a665b-a489-4f5d-8697-2d5685e93e8c,Bois-Herpin
way/85855836,4c308ad7-e8d9-40f5-ba9f-bbb995a6514c,Bois-d'Arcy
way/257237360,cf4dffdb-86a8-4c8e-8112-384f80b42e48,Bois-le-Roi
way/148483791,b0523068-4b94-4627-97d3-fab880de965b,Boisdon
way/99361833,ef11eefa-00c3-43a9-886f-5b5445dba313,Boisemont
node/4684470445,4995d02e-2548-4742-8eea-b39f4831b35f,Boissets
node/4798913799,374dcdb1-0be9-4baf-95cf-9a00da7d6ae5,Boissettes
node/4798916923,b0e9bba4-8d66-48d3-88f9-588fc7f9469d,Boissise-la-Bertrand
way/113301208,3444e703-ffea-4500-9228-9c2a51f23351,Boissise-le-Roi
way/108151489,60eb6151-5819-4e03-a82a-b7750f660f9f,Boissy-Mauvoisin
way/103514934,e9865b7f-ec64-4f72-8a8b-8dc327fefe9b,Boissy-Saint-Léger
node/4798915553,9129b03e-548d-40f7-bf33-7ebefdae4e88,Boissy-aux-Cailles
way/435919943,e97f23dc-f900-4707-a866-3db801bdbcf0,Boissy-l'Aillerie
node/281000444,209497e5-f7c7-4c54-94fc-acb6c76bedfe,Boissy-la-Rivière
node/4798916927,d614b050-87ff-4507-b3bc-a1145daa1b05,Boissy-le-Châtel
node/3484285063,9149de47-ffea-4674-b6a0-b2769110aa2f,Boissy-le-Cutté
node/3499118827,29b2fc03-abbd-41f9-bfdd-bf72164e51d3,Boissy-le-Sec
way/400433964,421144b4-3ae8-4df1-b7db-a6c892fe69bd,Boissy-sans-Avoir
way/161155949,8cfc485b-9be4-4bb4-86ba-6e621316c6e3,Boissy-sous-Saint-Yon
node/4798916933,cd2798d4-1c3e-4df2-aad3-302a24ee2539,Boitron
node/4798915886,940fce9d-3f0e-4830-aca9-3ba5842ebfcc,Bombon
node/3484287742,1e77ff29-56c1-41c8-9f52-991ee5745275,Bondoufle
way/84177487,eb1dff87-9ca8-4f58-96f2-823afc7de6a4,Bondy
way/404345316,3821ebba-d838-43c4-8fd7-2bf2a109b587,Bonnelles
node/10728672371,76c2115a-4ec2-4773-94e7-ed4909e59bbb,Bonneuil-en-France
node/611874742,01befebc-084e-4b13-ba83-fa49ee6e8ee8,Bonneuil-sur-Marne
way/613854642,1540d36b-c755-4f42-8229-e706fb5b2e73,Bonnières-sur-Seine
way/141580694,8b8c49c9-0b02-421a-af29-3dc8f9c12bf0,Bouafle
node/2287682234,6d8f431a-6ef7-4780-99ab-267c61e18d76,Bouffémont
node/1959359057,2fde7b8b-f320-4b4f-bb29-7903b593cea5,Bougival
node/4798915895,509d62ae-7fdd-4ada-9988-2ff73f903af2,Bougligny
way/41875548,d91d16b9-4445-46f6-b286-80fabfbb4753,Bouillante
node/4798915885,bd56c773-cfaa-4e0a-b062-132357125ae3,Boulancourt
