categorie,official_name,longitude,latitude,address_txt,opening_hours,insee,id
france_travail,Agence France Travail LIMOUX,2.225304,43.074866,ZI de Flassa  3 Impasse Didier Daurat 11300 Limoux,Mo-Fr 08:30-12:30,11206,fdb4c049-0bee-42fd-bf9d-f8729f30d1be
france_travail,Agence France Travail NIORT GARENNE,-0.479001,46.304619,36 Rue Thomas Portau 79000 Niort,Mo-Fr 08:30-12:30,79191,fdc1f5ee-b4ff-453f-bb1a-69401594537e
france_travail,Agence France Travail NANCY MAJORELLE,6.164631,48.686969,22 Rue François de Neufchateau 54000 Nancy,Mo-Fr 08:30-12:30,54395,fe4655e7-fa1f-4434-b2c0-51016fd5b355
france_travail,Agence spécialisée France Travail AVS Placement Artistes,2.305839,48.835722,10 Rue Brancion 75015 Paris,,75056,fe5e6799-c7dd-4415-acc1-2826b06e1e8d
france_travail,Agence France Travail LOUDEAC,-2.753203,48.178902,MAISON DE L EMPLOI ET DE LA F P  1 Rue de la Chesnaie 22600 Loudéac,Mo-Fr 08:30-12:30,22136,fe642acf-a19d-4f25-a63b-dea9adfa5636
france_travail,Agence France Travail NIMES 7 COLLINES,4.37012,43.822709,"ZAC PARC Georges BESSE II,  165 Rue Philippe Maupas 30000 Nîmes",Mo-Fr 08:30-12:30,30189,fe8e8982-6840-4a7c-b3cd-520fa0ce1f78
france_travail,Agence France Travail LA ROCHE NORD,-1.428908,46.686284,23 Rue faraday 85000 La Roche-sur-Yon,Mo-Fr 08:30-12:30,85191,ff4f2799-ee7d-4d69-aba8-ca688e7d366c
france_travail,Relai France Travail CIVRAY,0.287354,46.148824,13 Rue Norbert Portejoie 86400 Civray,,86078,ff5b0a68-1e61-443f-bad5-50186be5378b
france_travail,Agence France Travail SAINT LEU REUNION,55.29735,-21.215759,ZAC Portail  1 Rue Galabe 97424 Saint-Leu,Mo-Fr 07:30-11:30,97413,ff8f17a5-da5c-4e0c-8e71-a91a040ab7ef
france_travail,Agence France Travail LA ROCHELLE-VILLENEUVE,-1.115502,46.150689,45 Avenue Billaud-Varenne 17000 La Rochelle,Mo-Fr 08:30-12:30,17300,ff97726e-9133-4c2c-ba33-a5607cc434bb
